,player,team,AGE,RANK,salary,college,height,position,weight,shoots
1040,Gorgui Dieng,MEM,30.0,70.0,17587688.0,University of Louisville,6.11,Center and Power Forward,252.0,Right
1041,Gorgui Dieng,MEM,30.0,452.0,17587688.0,University of Louisville,6.11,Center and Power Forward,252.0,Right
1054,Spencer Dinwiddie,BKN,27.0,109.0,11454048.0,University of Colorado,6.6,Point Guard,210.0,Right
1060,Donte DiVincenzo,MIL,23.0,278.0,3044160.0,Villanova University,6.4,Shooting Guard,203.0,Right
1077,Damyean Dotson,NYK,26.0,355.0,2000000.0,"University of Oregon, University of Houston",6.6,Shooting Guard,210.0,Right
1106,Andre Drummond,CLE,26.0,32.0,29546311.0,University of Connecticut,6.11,Center,279.0,Right
1107,Andre Drummond,CLE,26.0,471.0,29546311.0,University of Connecticut,6.11,Center,279.0,Right
1112,Jared Dudley,LAL,34.0,303.0,2564753.0,Boston College,6.7,Small Forward and Power Forward and Shooting Guard,237.0,Right
1127,Kris Dunn,CHI,26.0,217.0,4767000.0,Providence College,6.4,Point Guard,205.0,Right
1187,Wayne Ellington,NYK,32.0,305.0,3005225.0,University of North Carolina,6.5,Shooting Guard,200.0,Right
1188,Wayne Ellington,NYK,32.0,486.0,3005225.0,University of North Carolina,6.5,Shooting Guard,200.0,Right
1205,Joel Embiid,PHI,26.0,22.0,29542010.0,University of Kansas,7.0,Center,250.0,Right
1228,Drew Eubanks,SAS,23.0,403.0,1620564.0,Oregon State University,6.1,Power Forward,245.0,Right
1233,Jacob Evans,MIN,23.0,351.0,2017320.0,University of Cincinnati,6.6,Shooting Guard,210.0,Right
1243,Dante Exum,CLE,24.0,126.0,9600000.0,,6.6,Point Guard,190.0,Right
1259,Derrick Favors,NOP,28.0,132.0,9258000.0,Georgia Institute of Technology,6.1,Center and Power Forward,265.0,Right
1277,Terrance Ferguson,OKC,22.0,239.0,3944013.0,,6.7,Shooting Guard,190.0,Right
1297,Dorian Finney-Smith,DAL,27.0,237.0,4000000.0,University of Florida,6.8,Small Forward and Power Forward,220.0,Right
1319,Bryn Forbes,SAS,26.0,315.0,2337145.0,Michigan State University,6.3,Shooting Guard,190.0,Right
1342,Evan Fournier,ORL,27.0,67.0,17000000.0,,6.7,Small Forward and Shooting Guard,205.0,Right
1347,De'Aaron Fox,SAC,22.0,147.0,8099627.0,University of Kentucky,6.3,Point Guard,175.0,Left
1385,Markelle Fultz,ORL,22.0,100.0,12288697.0,University of Washington,6.4,Shooting Guard,200.0,Right
1400,Danilo Gallinari,OKC,31.0,52.0,19500000.0,,6.1,Small Forward and Shooting Guard and Power Forward,225.0,Right
1401,Langston Galloway,DET,28.0,349.0,2028594.0,Saint Joseph's University,6.2,Shooting Guard and Point Guard,200.0,Right
1435,Marc Gasol,TOR,35.0,298.0,2564753.0,,7.1,Center,255.0,Right
