,player,team,AGE,RANK,salary,college,height,position,weight,shoots
3866,Dennis Smith Jr.,NYK,22.0,188.0,5686677.0,North Carolina State University,6.3,Point Guard,195.0,Right
3877,Ish Smith,WAS,31.0,182.0,6146341.0,Wake Forest University,6.0,Point Guard,175.0,Right
3912,Zhaire Smith,PHI,21.0,270.0,3204600.0,Texas Tech University,6.4,Shooting Guard,199.0,Right
3916,Tony Snell,DET,28.0,102.0,12178571.0,University of New Mexico,6.7,Shooting Guard and Small Forward,213.0,Right
3942,Omari Spellman,MIN,22.0,356.0,1988280.0,Villanova University,6.9,Power Forward,245.0,Right
4026,Edmond Sumner,IND,24.0,337.0,2160000.0,Xavier University,6.6,Point Guard,176.0,Right
4060,Jayson Tatum,BOS,22.0,123.0,9897120.0,Duke University,6.8,Small Forward,208.0,Right
4081,Jeff Teague,ATL,32.0,301.0,3372826.0,Wake Forest University,6.2,Point Guard,195.0,Right
4082,Jeff Teague,ATL,32.0,469.0,3372826.0,Wake Forest University,6.2,Point Guard,195.0,Right
4087,Garrett Temple,BKN,34.0,216.0,4767000.0,Louisiana State University,6.6,Point Guard and Small Forward and Shooting Guard,195.0,Right
4099,Daniel Theis,BOS,28.0,209.0,5000000.0,,6.8,Center,243.0,Right
4119,Khyri Thomas,DET,24.0,475.0,744684.0,Creighton University,6.3,Shooting Guard,210.0,Right
4147,Tristan Thompson,CLE,29.0,134.0,9258000.0,University of Texas at Austin,6.1,Power Forward and Center,238.0,Left Right
4154,Sindarius Thornwell,NOP,25.0,474.0,747435.0,University of South Carolina,6.5,Shooting Guard,215.0,Right
4189,Karl-Anthony Towns,MIN,24.0,26.0,29430000.0,University of Kentucky,7.0,Center,248.0,Right
4195,Gary Trent Jr.,POR,21.0,392.0,1663861.0,Duke University,6.6,Shooting Guard,205.0,Right
4211,P.J. Tucker,HOU,35.0,152.0,7969537.0,University of Texas at Austin,6.6,Small Forward and Shooting Guard and Power Forward,245.0,Right
4227,Myles Turner,IND,24.0,61.0,18000000.0,University of Texas at Austin,6.11,Center,250.0,Right
4250,Denzel Valentine,CHI,26.0,220.0,4642800.0,Michigan State University,6.6,Shooting Guard,210.0,Right
4263,Jarred Vanderbilt,MIN,21.0,400.0,1663861.0,University of Kentucky,6.9,Power Forward,214.0,Right
4268,Fred VanVleet,TOR,26.0,49.0,21250000.0,Wichita State University,6.0,Point Guard,195.0,Right
4295,Noah Vonleh,DEN,24.0,498.0,263995.0,Indiana University,6.9,Power Forward,250.0,Right
4311,Moritz Wagner,WAS,23.0,336.0,2161920.0,University of Michigan,6.11,Center,245.0,Right
4313,Dion Waiters,LAL,28.0,98.0,12650000.0,Syracuse University,6.4,Shooting Guard,215.0,Right
4326,Kemba Walker,BOS,30.0,12.0,34379100.0,University of Connecticut,6.1,Point Guard,184.0,Right
4341,Taurean Prince,BKN,26.0,85.0,13942308.0,Baylor University,6.8,Small Forward,220.0,Right
4351,Brad Wanamaker,BOS,30.0,330.0,2250000.0,University of Pittsburgh,6.4,Point Guard,210.0,Right
4365,T.J. Warren,IND,26.0,106.0,11750000.0,North Carolina State University,6.8,Small Forward,215.0,Right
4383,Yuta Watanabe,MEM,25.0,495.0,321893.0,George Washington University,6.9,Small Forward,205.0,Left
4436,Russell Westbrook,HOU,31.0,2.0,41358814.0,"University of California, Los Angeles",6.3,Point Guard,200.0,Right
4447,Derrick White,SAS,25.0,260.0,3516284.0,University of Colorado,6.4,Point Guard,190.0,Right
4465,Hassan Whiteside,POR,31.0,321.0,2320044.0,Marshall University,7.0,Center,265.0,Right
4475,Andrew Wiggins,GSW,25.0,23.0,29542010.0,University of Kansas,6.8,Small Forward,194.0,Right
4537,Kenrich Williams,NOP,25.0,354.0,2000000.0,Texas Christian University,6.7,Small Forward,210.0,Right
4540,Lou Williams,LAC,33.0,151.0,8000000.0,,6.1,Shooting Guard and Point Guard,175.0,Right
4583,D.J. Wilson,MIL,24.0,222.0,4548280.0,University of Michigan,6.1,Power Forward,231.0,Right
4605,Justise Winslow,MEM,24.0,95.0,13000000.0,Duke University,6.7,Power Forward and Small Forward,225.0,Left
4623,Christian Wood,DET,24.0,93.0,13015874.0,"University of Nevada, Las Vegas",6.1,Power Forward,214.0,Right
4647,Delon Wright,DAL,28.0,138.0,9000000.0,University of Utah,6.5,Point Guard,183.0,Right
4677,Thaddeus Young,CHI,32.0,87.0,13545000.0,Georgia Institute of Technology,6.8,Power Forward,221.0,Left
4679,Trae Young,ATL,21.0,174.0,6571800.0,University of Oklahoma,6.2,Point Guard,180.0,Right
4683,Cody Zeller,CHA,27.0,76.0,15415730.0,Indiana University,7.0,Center,240.0,Right
4699,Ivica Zubac,LAC,23.0,168.0,7000000.0,,7.1,Center,240.0,Right
