,player,team,AGE,MIN,GP,PTS,REB,AST,PLUS_MINUS,TOV,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,RANK,salary
310,Kevin Huerter,ATL,21.0,31.4,56,12.2,4.1,3.8,-4.3,1.6,0.413,2.3,0.38,0.9,0.828,289.0,2761920.0
312,Kevin Love,CLE,31.0,31.8,56,17.6,9.8,3.2,-4.8,2.5,0.45,2.6,0.374,3.3,0.854,20.0,31300000.0
313,Kevin Porter Jr.,CLE,20.0,23.2,50,10.0,3.2,2.2,-5.8,1.9,0.442,1.1,0.335,1.5,0.723,347.0,2033160.0
314,Kevon Looney,GSW,24.0,13.1,20,3.4,3.3,1.0,-5.0,0.6,0.367,0.1,0.071,0.5,0.75,214.0,4821429.0
315,Khem Birch,ORL,27.0,19.2,48,4.4,4.6,1.0,-2.7,0.6,0.51,0.0,0.0,1.4,0.653,280.0,3425463.0
316,Khem Birch,ORL,27.0,19.2,48,4.4,4.6,1.0,-2.7,0.6,0.51,0.0,0.0,1.4,0.653,487.0,3425463.0
317,Khris Middleton,MIL,28.0,29.9,62,20.9,6.2,4.3,8.1,2.2,0.497,2.4,0.415,3.4,0.916,16.0,33051724.0
318,Khyri Thomas,DET,24.0,7.7,8,2.1,0.1,0.4,-4.5,0.4,0.294,0.6,0.357,0.3,0.5,475.0,744684.0
320,Kris Dunn,CHI,26.0,24.9,51,7.3,3.6,3.4,-0.6,1.3,0.444,0.6,0.259,0.8,0.741,217.0,4767000.0
324,Kyle Anderson,MEM,26.0,19.8,67,5.8,4.3,2.4,-1.4,1.0,0.474,0.4,0.282,0.8,0.667,128.0,9505100.0
327,Kyle Kuzma,LAL,24.0,25.0,61,12.8,4.5,1.3,3.0,1.5,0.436,1.4,0.316,1.9,0.735,256.0,3562178.0
328,Kyle Lowry,TOR,34.0,36.2,58,19.4,5.0,7.5,4.7,3.1,0.416,2.8,0.352,5.1,0.857,21.0,30000000.0
330,Kyrie Irving,BKN,28.0,32.9,20,27.4,5.2,6.4,-0.4,2.6,0.478,2.8,0.394,4.7,0.922,15.0,33329100.0
331,LaMarcus Aldridge,SAS,34.0,33.1,53,18.9,7.4,2.4,-2.4,1.4,0.493,1.2,0.389,3.0,0.827,59.0,19078340.0
332,LaMarcus Aldridge,SAS,34.0,33.1,53,18.9,7.4,2.4,-2.4,1.4,0.493,1.2,0.389,3.0,0.827,468.0,19078340.0
334,Landry Shamet,LAC,23.0,27.4,53,9.3,1.9,1.9,2.3,0.8,0.404,2.1,0.375,1.2,0.855,341.0,2090040.0
335,Langston Galloway,DET,28.0,25.8,66,10.3,2.3,1.5,-2.2,0.6,0.435,2.0,0.399,1.1,0.859,349.0,2028594.0
336,Larry Nance Jr.,CLE,27.0,26.3,56,10.1,7.3,2.2,-2.8,1.1,0.531,1.0,0.352,0.9,0.676,107.0,11709091.0
337,Lauri Markkanen,CHI,23.0,29.8,50,14.7,6.3,1.5,-1.4,1.6,0.425,2.2,0.344,2.5,0.824,171.0,6731508.0
338,LeBron James,LAL,35.0,34.6,67,25.3,7.8,10.2,6.6,3.9,0.493,2.2,0.348,3.9,0.693,6.0,39219565.0
340,Lonzo Ball,NOP,22.0,32.1,63,11.8,6.1,7.0,-0.4,3.1,0.403,2.3,0.375,0.7,0.566,111.0,11003782.0
341,Lou Williams,LAC,33.0,28.7,65,18.2,3.1,5.6,3.1,2.8,0.418,1.7,0.352,4.5,0.861,151.0,8000000.0
344,Luguentz Dort,OKC,21.0,22.8,36,6.8,2.3,0.8,1.5,0.6,0.394,0.8,0.297,1.2,0.792,413.0,1517981.0
347,Luke Kennard,DET,24.0,32.9,28,15.8,3.5,4.1,-0.8,1.5,0.442,2.6,0.399,2.4,0.893,197.0,5273826.0
348,Luke Kornet,CHI,24.0,15.5,36,6.0,2.3,0.9,-1.2,0.4,0.439,0.9,0.287,0.6,0.714,324.0,2304878.0
349,Malcolm Brogdon,IND,27.0,30.9,54,16.5,4.9,7.1,1.6,2.4,0.438,1.4,0.326,3.1,0.892,51.0,20700000.0
351,Malik Beasley,MIN,23.0,22.0,55,11.2,2.7,1.4,-0.9,1.0,0.425,1.9,0.388,1.0,0.818,91.0,13325895.0
352,Malik Monk,CHA,22.0,21.3,55,10.3,2.9,2.1,-4.2,1.4,0.434,1.1,0.284,1.5,0.82,195.0,5345687.0
354,Marc Gasol,TOR,35.0,26.4,44,7.5,6.3,3.3,6.1,1.3,0.427,1.3,0.385,0.8,0.735,298.0,2564753.0
357,Marcus Smart,BOS,26.0,32.0,60,12.9,3.8,4.9,4.7,1.7,0.375,2.3,0.347,2.1,0.836,89.0,13446428.0
360,Markelle Fultz,ORL,22.0,27.7,72,12.1,3.3,5.1,-0.8,2.0,0.465,0.5,0.267,1.6,0.73,100.0,12288697.0
361,Markieff Morris,LAL,30.0,20.5,58,9.7,3.8,1.3,-2.2,1.3,0.443,1.5,0.386,1.1,0.776,317.0,2331593.0
362,Marko Guduric,MEM,25.0,11.0,44,3.9,1.7,1.0,-0.6,0.8,0.395,0.6,0.301,0.5,0.923,290.0,2750000.0
364,Marquese Chriss,GSW,22.0,20.3,59,9.3,6.2,1.9,-3.8,1.3,0.545,0.1,0.205,2.0,0.769,371.0,1824003.0
365,Marvin Bagley III,SAC,21.0,25.7,13,14.2,7.5,0.8,-6.8,1.4,0.467,0.3,0.182,1.9,0.806,139.0,8963640.0
367,Mason Plumlee,DEN,30.0,17.3,61,7.2,5.2,2.5,-0.9,1.3,0.615,0.0,0.0,1.4,0.535,150.0,8000000.0
368,Matisse Thybulle,PHI,23.0,19.8,65,4.7,1.6,1.2,0.6,0.8,0.423,0.9,0.357,0.4,0.61,292.0,2711280.0
370,Matt Thomas,TOR,25.0,10.7,41,4.9,1.5,0.5,1.6,0.4,0.487,1.1,0.475,0.2,0.75,424.0,1517981.0
371,Matthew Dellavedova,CLE,29.0,14.4,57,3.1,1.3,3.2,-0.2,1.0,0.354,0.4,0.231,0.6,0.865,334.0,2174318.0
372,Maurice Harkless,NYK,27.0,23.0,62,5.8,3.9,1.1,0.3,0.9,0.502,0.5,0.347,0.6,0.591,253.0,3623000.0
374,Maxi Kleber,DAL,28.0,25.5,74,9.1,5.2,1.2,1.4,0.8,0.461,1.6,0.373,1.1,0.849,144.0,8250000.0
376,Meyers Leonard,MIA,28.0,20.3,51,6.1,5.1,1.1,1.5,0.8,0.509,1.0,0.414,0.4,0.643,129.0,9400000.0
377,Mfiondu Kabengele,LAC,22.0,5.4,12,3.5,0.9,0.2,-0.1,0.2,0.438,0.8,0.45,0.4,1.0,342.0,2075880.0
378,Michael Carter-Williams,ORL,28.0,18.5,45,7.2,3.3,2.4,0.5,1.2,0.427,0.5,0.293,1.8,0.832,279.0,3000000.0
381,Michael Porter Jr.,DEN,22.0,16.4,55,9.3,4.7,0.8,0.4,0.9,0.509,1.1,0.422,1.1,0.833,257.0,3550800.0
382,Mikal Bridges,PHX,23.0,28.0,73,9.1,4.0,1.8,1.6,1.0,0.51,1.0,0.361,1.4,0.844,225.0,4359000.0
383,Mike Conley,UTA,32.0,29.0,47,14.4,3.2,4.4,1.6,2.0,0.409,2.0,0.375,2.4,0.827,10.0,34504132.0
384,Mike Muscala,OKC,28.0,12.2,47,4.8,2.3,0.9,-0.4,0.4,0.407,1.1,0.378,0.4,0.818,327.0,2283034.0
385,Mike Scott,PHI,31.0,17.8,68,6.0,3.6,0.8,2.1,0.4,0.426,1.2,0.369,0.4,0.811,205.0,5005350.0
386,Miles Bridges,CHA,22.0,30.7,65,13.0,5.6,1.8,-6.1,1.5,0.424,1.5,0.33,1.6,0.809,240.0,3934320.0
387,Mitchell Robinson,NYK,22.0,23.2,61,9.7,7.0,0.6,-1.8,0.6,0.742,0.0,0.0,1.4,0.568,394.0,1663861.0
388,Miye Oni,UTA,22.0,10.9,10,3.5,1.7,0.4,-1.6,0.4,0.375,0.7,0.368,0.4,0.8,425.0,1517981.0
389,Mo Bamba,ORL,22.0,14.2,62,5.4,4.9,0.7,0.3,0.7,0.462,0.6,0.346,0.5,0.674,185.0,5969040.0
390,Monte Morris,DEN,25.0,22.4,73,9.0,1.9,3.5,0.7,0.7,0.459,0.9,0.378,1.0,0.843,391.0,1663861.0
391,Montrezl Harrell,LAC,26.0,27.8,63,18.6,7.1,1.7,4.0,1.7,0.58,0.0,0.0,3.7,0.658,133.0,9258000.0
392,Moritz Wagner,WAS,23.0,18.6,45,8.7,4.9,1.2,-2.0,1.5,0.545,0.6,0.313,1.7,0.821,336.0,2161920.0
393,Moses Brown,POR,20.0,3.6,9,1.2,1.6,0.1,-3.7,0.3,0.4,0.0,0.0,0.3,0.375,483.0,495102.0
394,Mychal Mulder,GSW,26.0,29.1,7,11.0,3.3,1.1,3.3,0.7,0.388,2.3,0.308,1.3,0.75,429.0,1517981.0
395,Myles Turner,IND,24.0,29.4,62,12.1,6.6,1.2,-0.1,1.4,0.457,1.4,0.344,2.0,0.751,61.0,18000000.0
396,Nassir Little,POR,20.0,11.9,48,3.6,2.3,0.5,-1.1,0.3,0.43,0.3,0.237,0.6,0.636,332.0,2210640.0
398,Naz Reid,MIN,20.0,16.5,30,9.0,4.1,1.2,0.2,0.7,0.412,1.1,0.33,1.2,0.698,427.0,1517981.0
399,Nemanja Bjelica,SAC,32.0,27.9,72,11.5,6.4,2.8,0.1,1.4,0.481,1.9,0.419,1.0,0.821,166.0,7150000.0
400,Nerlens Noel,OKC,26.0,18.5,61,7.4,4.9,0.9,0.4,1.1,0.684,0.0,0.333,1.3,0.755,208.0,5000000.0
401,Nickeil Alexander-Walker,NOP,21.0,12.6,47,5.7,1.8,1.9,-1.2,1.1,0.368,1.0,0.346,0.5,0.676,276.0,3113160.0
402,Nicolas Batum,CHA,31.0,23.0,22,3.6,4.5,3.0,-2.2,1.0,0.346,0.6,0.286,0.4,0.9,137.0,11608231.0
403,Nicolas Batum,CHA,31.0,23.0,22,3.6,4.5,3.0,-2.2,1.0,0.346,0.6,0.286,0.4,0.9,304.0,11608231.0
404,Nicolas Claxton,BKN,21.0,12.5,15,4.4,2.9,1.1,-4.5,0.6,0.563,0.1,0.143,0.7,0.524,410.0,1517981.0
409,Noah Vonleh,DEN,24.0,10.5,36,3.7,3.4,0.8,-1.5,0.6,0.565,0.1,0.2,0.7,0.781,498.0,263995.0
410,Norman Powell,TOR,27.0,28.4,52,16.0,3.7,1.8,2.8,1.5,0.495,2.1,0.399,2.5,0.843,112.0,10865952.0
411,Norvel Pelle,PHI,27.0,9.7,24,2.4,3.0,0.3,-3.1,0.8,0.521,0.0,0.0,0.3,0.5,482.0,717845.0
412,OG Anunoby,TOR,22.0,29.9,69,10.6,5.3,1.6,4.0,1.1,0.505,1.3,0.39,1.0,0.706,242.0,3872215.0
413,Omari Spellman,MIN,22.0,18.1,49,7.6,4.5,1.0,-2.9,1.1,0.431,0.9,0.391,1.5,0.793,356.0,1988280.0
414,Oshae Brissett,TOR,22.0,7.1,19,1.9,1.4,0.4,1.8,0.4,0.361,0.2,0.2,0.4,0.8,497.0,557453.0
415,Oshae Brissett,TOR,22.0,7.1,19,1.9,1.4,0.4,1.8,0.4,0.361,0.2,0.2,0.4,0.8,499.0,557453.0
417,P.J. Tucker,HOU,35.0,34.3,72,6.9,6.6,1.6,2.2,1.0,0.415,1.5,0.358,0.5,0.813,152.0,7969537.0
418,P.J. Washington,CHA,21.0,30.3,58,12.2,5.4,2.1,-3.8,1.6,0.455,1.5,0.374,1.5,0.647,235.0,4023600.0
420,Pascal Siakam,TOR,26.0,35.2,60,22.9,7.3,3.5,6.6,2.5,0.453,2.2,0.359,4.0,0.792,30.0,29000000.0
421,Pat Connaughton,MIL,27.0,18.6,67,5.4,4.2,1.6,1.2,0.8,0.455,0.8,0.331,0.5,0.775,212.0,4938272.0
422,Patrick Beverley,LAC,31.0,26.3,51,7.9,5.2,3.6,5.6,1.3,0.431,1.6,0.388,0.6,0.66,90.0,13333333.0
423,Patrick McCaw,TOR,24.0,24.5,37,4.6,2.3,2.1,0.1,0.8,0.414,0.6,0.324,0.4,0.722,238.0,4000000.0
424,Patrick Patterson,LAC,31.0,13.2,59,4.9,2.6,0.7,0.8,0.4,0.408,1.1,0.39,0.6,0.814,277.0,3814768.0
425,Patrick Patterson,LAC,31.0,13.2,59,4.9,2.6,0.7,0.8,0.4,0.408,1.1,0.39,0.6,0.814,476.0,3814768.0
426,Patty Mills,SAS,31.0,22.5,66,11.6,1.6,1.8,2.0,0.8,0.431,2.3,0.382,1.5,0.866,92.0,13285714.0
427,Paul George,LAC,30.0,29.6,48,21.5,5.7,3.9,5.4,2.6,0.439,3.3,0.412,4.0,0.876,8.0,35450412.0
428,Paul Millsap,DEN,35.0,24.3,51,11.6,5.7,1.6,4.4,1.4,0.482,1.1,0.435,2.3,0.816,122.0,10000000.0
429,Paul Watson,TOR,25.0,8.7,10,3.1,1.7,0.8,3.3,0.3,0.385,0.4,0.333,0.7,0.778,442.0,1445697.0
430,Quinn Cook,LAL,27.0,11.5,44,5.1,1.2,1.1,1.3,0.8,0.425,0.7,0.365,0.3,0.786,451.0,1797183.0
431,Quinn Cook,LAL,27.0,11.5,44,5.1,1.2,1.1,1.3,0.8,0.425,0.7,0.365,0.3,0.786,470.0,1797183.0
433,RJ Barrett,NYK,20.0,30.4,56,14.3,5.0,2.6,-5.8,2.2,0.402,1.1,0.32,2.8,0.614,145.0,8231760.0
434,Rajon Rondo,LAL,34.0,20.5,48,7.1,3.0,5.0,0.9,1.9,0.418,0.9,0.328,0.6,0.659,159.0,7500000.0
435,Raul Neto,PHI,28.0,12.4,54,5.1,1.1,1.8,0.7,0.9,0.455,0.6,0.386,0.7,0.83,365.0,1882867.0
436,Rayjon Tucker,UTA,22.0,8.1,20,3.1,1.0,0.3,-1.2,0.4,0.465,0.2,0.176,1.0,0.826,493.0,340000.0
437,Reggie Bullock,NYK,29.0,23.6,29,8.1,2.3,1.4,-2.7,0.7,0.402,1.3,0.333,0.6,0.81,230.0,4200000.0
438,Reggie Jackson,LAC,30.0,24.0,31,11.9,3.0,4.1,3.5,1.6,0.411,1.8,0.393,1.5,0.833,318.0,2331593.0
439,Richaun Holmes,SAC,26.0,28.2,44,12.3,8.1,1.0,0.4,1.2,0.648,0.0,0.0,2.1,0.788,203.0,5005350.0
440,Ricky Rubio,PHX,29.0,31.0,65,13.0,4.7,8.8,2.3,2.7,0.415,1.2,0.361,3.0,0.863,66.0,17000000.0
441,Robert Covington,HOU,29.0,30.5,70,12.4,6.6,1.3,0.5,1.5,0.422,2.3,0.335,1.4,0.798,103.0,12138345.0
443,Robin Lopez,MIL,32.0,14.5,66,5.4,2.4,0.7,0.1,1.0,0.492,0.5,0.333,0.4,0.528,163.0,7300000.0
444,Rodions Kurucs,BKN,22.0,14.5,47,4.6,2.9,1.1,-0.6,1.0,0.446,0.7,0.367,0.5,0.632,374.0,1780152.0
445,Rodney Hood,POR,27.0,29.5,21,11.0,3.4,1.5,0.2,0.9,0.506,1.7,0.493,1.0,0.778,119.0,10047450.0
446,Rodney McGruder,LAC,28.0,15.6,56,3.3,2.7,0.6,-0.1,0.4,0.398,0.4,0.27,0.3,0.559,207.0,5000000.0
447,Romeo Langford,BOS,20.0,11.6,32,2.5,1.3,0.4,2.1,0.3,0.35,0.2,0.185,0.6,0.72,251.0,3631200.0
449,Royce O'Neale,UTA,27.0,28.9,71,6.3,5.5,2.5,3.0,0.9,0.433,1.3,0.377,0.6,0.764,149.0,8035714.0
450,Rudy Gay,SAS,33.0,21.8,67,10.8,5.4,1.7,0.2,1.3,0.446,1.1,0.336,1.8,0.882,84.0,14000000.0
451,Rudy Gobert,UTA,28.0,34.3,68,15.1,13.5,1.5,4.3,1.9,0.693,0.0,0.0,3.7,0.63,42.0,26525281.0
452,Rui Hachimura,WAS,22.0,30.1,48,13.5,6.1,1.8,-5.3,1.1,0.466,0.5,0.287,2.4,0.829,219.0,4692840.0
453,Russell Westbrook,HOU,31.0,36.0,57,27.2,7.9,7.0,2.2,4.5,0.472,1.0,0.258,5.1,0.763,2.0,41358814.0
454,Ryan Anderson,HOU,32.0,7.0,2,2.5,3.5,1.0,3.5,0.5,0.286,0.5,0.2,0.0,0.0,198.0,5214583.0
455,Ryan Arcidiacono,CHI,26.0,16.0,58,4.5,1.9,1.7,-1.4,0.6,0.409,0.9,0.391,0.5,0.711,281.0,3000000.0
457,Sekou Doumbouya,DET,19.0,19.8,38,6.4,3.1,0.5,-4.6,0.9,0.39,0.7,0.286,0.8,0.674,266.0,3449400.0
458,Semi Ojeleye,BOS,25.0,14.6,69,3.4,2.1,0.5,-0.4,0.3,0.408,0.7,0.378,0.4,0.875,379.0,1752950.0
459,Serge Ibaka,TOR,30.0,27.0,55,15.4,8.2,1.4,1.7,2.0,0.512,1.3,0.385,1.6,0.718,135.0,9258000.0
460,Seth Curry,DAL,29.0,24.6,64,12.4,2.3,1.9,2.5,1.0,0.495,2.3,0.452,1.3,0.825,155.0,7813953.0
462,Shai Gilgeous-Alexander,OKC,21.0,34.7,70,19.0,5.9,3.3,2.2,1.9,0.471,1.2,0.347,4.1,0.807,231.0,4141320.0
463,Shake Milton,PHI,23.0,20.1,40,9.4,2.2,2.6,-0.1,1.2,0.484,1.5,0.43,1.3,0.785,383.0,1701593.0
465,Shaquille Harrison,CHI,26.0,11.3,43,4.9,2.0,1.1,1.4,0.4,0.467,0.4,0.381,0.9,0.78,473.0,770433.0
466,Sindarius Thornwell,NOP,25.0,17.7,2,8.0,2.0,2.0,-1.5,1.0,0.545,1.0,0.5,1.0,0.5,474.0,747435.0
468,Solomon Hill,MIA,29.0,18.4,59,5.5,2.8,1.8,-1.3,0.9,0.396,1.1,0.368,0.7,0.741,335.0,2174318.0
469,Spencer Dinwiddie,BKN,27.0,31.2,64,20.6,3.5,6.8,0.8,2.7,0.415,1.9,0.308,5.4,0.778,109.0,11454048.0
470,Stanley Johnson,TOR,24.0,6.0,25,2.4,1.5,0.8,0.5,0.6,0.373,0.3,0.292,0.4,0.563,246.0,3801000.0
472,Stephen Curry,GSW,32.0,27.9,5,20.8,5.2,6.6,-9.0,3.2,0.402,2.4,0.245,5.2,1.0,1.0,43006362.0
473,Sterling Brown,MIL,25.0,14.7,52,5.1,3.5,1.0,1.3,0.8,0.371,0.8,0.324,0.6,0.8,390.0,1678854.0
474,Steven Adams,OKC,26.0,26.7,63,10.9,9.3,2.3,2.4,1.5,0.592,0.0,0.333,1.9,0.582,39.0,27528090.0
476,T.J. Leaf,IND,23.0,7.9,28,3.0,2.5,0.3,0.3,0.3,0.419,0.2,0.278,0.3,0.438,226.0,4326825.0
477,T.J. McConnell,IND,28.0,18.7,71,6.5,2.7,5.0,0.7,1.4,0.516,0.1,0.294,0.5,0.833,263.0,3500000.0
478,T.J. Warren,IND,26.0,32.9,67,19.8,4.2,1.5,1.9,1.3,0.536,1.4,0.403,2.5,0.819,106.0,11750000.0
480,Taj Gibson,NYK,35.0,16.5,62,6.1,4.3,0.8,-4.2,0.8,0.584,0.1,0.286,0.7,0.732,326.0,3283684.0
481,Taj Gibson,NYK,35.0,16.5,62,6.1,4.3,0.8,-4.2,0.8,0.584,0.1,0.286,0.7,0.732,453.0,3283684.0
482,Talen Horton-Tucker,LAL,19.0,13.5,6,5.7,1.2,1.0,-3.0,1.0,0.467,0.7,0.308,0.3,0.5,420.0,1517981.0
484,Taurean Prince,BKN,26.0,29.0,64,12.1,6.0,1.8,1.1,2.0,0.376,2.3,0.339,1.1,0.798,85.0,13942308.0
485,Terance Mann,LAC,23.0,8.8,41,2.4,1.3,1.3,-0.1,0.4,0.468,0.2,0.35,0.4,0.667,406.0,1517984.0
486,Terence Davis,TOR,23.0,16.8,72,7.5,3.3,1.6,2.8,1.1,0.456,1.3,0.388,0.7,0.864,426.0,1517981.0
487,Terrance Ferguson,OKC,22.0,22.5,56,3.9,1.3,0.9,-2.6,0.6,0.355,0.9,0.292,0.3,0.75,239.0,3944013.0
488,Terrence Ross,ORL,29.0,27.4,69,14.7,3.2,1.2,-1.0,1.0,0.403,2.6,0.351,2.3,0.853,88.0,13500000.0
489,Terry Rozier,CHA,26.0,34.4,63,18.0,4.4,4.1,-6.3,2.2,0.423,2.7,0.407,2.6,0.874,57.0,18900000.0
491,Thaddeus Young,CHI,32.0,24.9,64,10.3,4.9,1.8,-3.3,1.6,0.448,1.2,0.356,0.7,0.583,87.0,13545000.0
492,Thanasis Antetokounmpo,MIL,27.0,6.4,20,2.8,1.2,0.8,-0.8,0.6,0.5,0.0,0.0,0.4,0.412,384.0,1701593.0
494,Thomas Bryant,WAS,22.0,24.9,46,13.2,7.2,1.8,-3.5,1.2,0.581,0.8,0.407,1.9,0.741,143.0,8333333.0
495,Thon Maker,DET,23.0,12.9,60,4.7,2.8,0.7,-2.4,0.8,0.482,0.4,0.344,1.2,0.664,496.0,309355.0
497,Tim Hardaway Jr.,DAL,28.0,29.5,71,15.8,3.3,1.9,4.1,1.0,0.434,2.9,0.398,2.1,0.819,56.0,18975000.0
499,Tobias Harris,PHI,27.0,34.3,72,19.6,6.9,3.2,2.2,1.4,0.471,1.8,0.367,2.4,0.806,14.0,33517241.0
501,Tony Bradley,UTA,22.0,11.4,58,4.9,4.6,0.4,-0.2,0.5,0.667,0.1,1.0,0.5,0.652,259.0,3542060.0
502,Tony Snell,DET,28.0,27.8,59,8.0,1.9,2.2,-2.9,0.5,0.445,1.7,0.402,0.5,1.0,102.0,12178571.0
503,Torrey Craig,DEN,29.0,18.5,58,5.4,3.3,0.8,-3.0,0.4,0.461,0.8,0.326,0.4,0.611,388.0,1678854.0
504,Trae Young,ATL,21.0,35.3,60,29.6,4.3,9.3,-3.8,4.8,0.437,3.4,0.361,8.0,0.86,174.0,6571800.0
507,Trevor Ariza,POR,35.0,28.2,53,8.0,4.6,1.7,-0.2,1.1,0.438,1.5,0.372,1.2,0.838,96.0,12800000.0
508,Trey Burke,DAL,27.0,15.8,33,7.4,1.5,2.5,0.8,0.6,0.45,1.0,0.427,0.7,0.793,271.0,3174603.0
509,Trey Lyles,SAS,24.0,20.2,63,6.4,5.7,1.1,-0.9,0.6,0.446,1.0,0.387,0.5,0.733,192.0,5500000.0
510,Tristan Thompson,CLE,29.0,30.2,57,12.0,10.1,2.1,-6.6,1.8,0.512,0.2,0.391,1.7,0.615,134.0,9258000.0
511,Troy Brown Jr.,WAS,20.0,25.8,69,10.4,5.6,2.6,-3.3,1.1,0.439,0.9,0.341,1.6,0.784,267.0,3372840.0
513,Ty Jerome,PHX,22.0,10.6,31,3.3,1.5,1.4,-3.3,0.6,0.336,0.5,0.28,0.4,0.75,325.0,2303040.0
515,Tyler Herro,MIA,20.0,27.4,55,13.5,4.1,2.2,-0.4,1.6,0.428,2.1,0.389,1.6,0.87,245.0,3822240.0
516,Tyler Johnson,BKN,28.0,18.2,39,7.0,1.9,1.9,-2.6,0.7,0.388,1.0,0.319,1.1,0.84,350.0,2028594.0
520,Tyus Jones,MEM,24.0,19.0,65,7.4,1.6,4.4,-0.8,0.8,0.459,0.7,0.379,0.7,0.741,153.0,7965100.0
521,Udonis Haslem,MIA,40.0,11.0,4,3.0,4.0,0.3,-4.8,0.3,0.364,0.3,0.333,0.8,0.75,302.0,2564753.0
523,Victor Oladipo,IND,28.0,27.8,19,14.5,3.9,2.9,-0.3,2.5,0.394,1.7,0.317,2.5,0.814,50.0,21000000.0
525,Vincent Poirier,BOS,26.0,5.9,22,1.9,2.0,0.4,-0.9,0.4,0.472,0.0,0.5,0.3,0.857,295.0,2619207.0
527,Wayne Ellington,NYK,32.0,15.5,36,5.1,1.8,1.2,-0.5,0.5,0.351,1.4,0.35,0.3,0.846,305.0,3005225.0
528,Wayne Ellington,NYK,32.0,15.5,36,5.1,1.8,1.2,-0.5,0.5,0.351,1.4,0.35,0.3,0.846,486.0,3005225.0
529,Wendell Carter Jr.,CHI,21.0,29.2,43,11.3,9.4,1.2,-0.7,1.7,0.534,0.1,0.207,2.6,0.737,193.0,5448840.0
530,Wenyen Gabriel,POR,23.0,7.8,30,2.1,1.7,0.3,-1.5,0.5,0.438,0.2,0.3,0.5,0.682,405.0,1620564.0
532,Wesley Matthews,MIL,33.0,24.4,67,7.4,2.5,1.4,6.8,0.6,0.396,1.6,0.364,0.8,0.765,255.0,3623000.0
533,Will Barton,DEN,29.0,33.0,58,15.1,6.3,3.7,4.2,1.5,0.45,1.9,0.375,1.8,0.767,86.0,13920000.0
535,Willie Cauley-Stein,DAL,26.0,20.3,54,7.2,5.8,1.3,-2.4,0.7,0.579,0.0,0.0,0.7,0.606,236.0,4000000.0
539,Yuta Watanabe,MEM,25.0,5.8,18,2.0,1.1,0.3,0.6,0.1,0.441,0.2,0.375,0.2,0.375,495.0,321893.0
540,Zach Collins,POR,22.0,26.4,11,7.0,6.3,1.5,3.3,1.3,0.471,0.6,0.368,0.5,0.75,194.0,5406255.0
541,Zach LaVine,CHI,25.0,34.8,60,25.5,4.8,4.2,-3.2,3.4,0.45,3.1,0.38,4.5,0.802,53.0,19500000.0
543,Zhaire Smith,PHI,21.0,4.6,7,1.1,0.3,0.3,-1.4,0.3,0.273,0.0,0.0,0.3,0.5,270.0,3204600.0
544,Zion Williamson,NOP,19.0,27.8,24,22.5,6.3,2.1,2.6,2.5,0.583,0.3,0.429,4.8,0.64,117.0,10245480.0
545,Zylan Cheatham,NOP,24.0,12.8,4,3.0,2.3,0.8,-7.0,1.0,0.667,0.0,0.0,0.0,0.0,437.0,1445697.0
