,player,team,AGE,MIN,GP,PTS,REB,AST,PLUS_MINUS,TOV,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,RANK,salary
125,Derrick Favors,NOP,28.0,24.4,51,9.0,9.8,1.6,2.3,1.1,0.617,0.0,0.143,0.8,0.563,132.0,9258000.0
126,Derrick Jones Jr.,MIA,23.0,23.3,59,8.5,3.9,1.1,-0.5,0.5,0.527,0.6,0.28,1.6,0.772,130.0,9268293.0
127,Derrick Rose,DET,31.0,26.0,50,18.1,2.4,5.6,-1.7,2.5,0.49,0.9,0.306,2.4,0.871,157.0,7682927.0
129,Derrick White,SAS,25.0,24.7,68,11.3,3.3,3.5,0.6,1.3,0.458,1.2,0.366,2.6,0.853,260.0,3516284.0
130,Devin Booker,PHX,23.0,35.9,70,26.6,4.2,6.5,1.9,3.8,0.489,2.0,0.354,6.7,0.919,25.0,29430000.0
133,Devonte' Graham,CHA,25.0,35.1,63,18.2,3.4,7.5,-2.9,2.9,0.382,3.5,0.373,3.0,0.82,401.0,1663861.0
135,Dewayne Dedmon,ATL,30.0,17.6,44,5.8,5.7,0.5,-0.6,1.3,0.4,0.5,0.206,0.7,0.833,285.0,3447478.0
136,Dewayne Dedmon,ATL,30.0,17.6,44,5.8,5.7,0.5,-0.6,1.3,0.4,0.5,0.206,0.7,0.833,479.0,3447478.0
137,Dillon Brooks,MEM,24.0,28.9,73,16.2,3.3,2.1,-0.6,1.7,0.407,2.0,0.358,2.2,0.808,110.0,11400000.0
138,Dion Waiters,LAL,28.0,20.7,10,11.1,2.4,2.0,2.9,1.6,0.414,1.5,0.319,1.4,0.824,98.0,12650000.0
139,Domantas Sabonis,IND,24.0,34.8,62,18.5,12.4,5.0,2.6,2.7,0.54,0.3,0.254,3.5,0.723,65.0,17187500.0
140,Donovan Mitchell,UTA,23.0,34.3,69,24.0,4.4,4.3,1.6,2.7,0.449,2.5,0.366,4.0,0.863,199.0,5195501.0
142,Donte DiVincenzo,MIL,23.0,23.0,66,9.2,4.8,2.3,6.2,1.4,0.455,1.3,0.336,1.0,0.733,278.0,3044160.0
143,Dorian Finney-Smith,DAL,27.0,29.9,71,9.5,5.7,1.6,3.9,1.0,0.466,1.6,0.376,1.1,0.722,237.0,4000000.0
144,Doug McDermott,IND,28.0,19.9,69,10.3,2.5,1.1,1.5,0.6,0.488,1.9,0.435,0.7,0.828,162.0,7333333.0
146,Draymond Green,GSW,30.0,28.4,43,8.0,6.2,6.2,-4.5,2.3,0.389,0.8,0.279,1.5,0.759,47.0,22246956.0
147,Drew Eubanks,SAS,23.0,12.4,22,4.9,3.9,0.7,-3.2,1.0,0.642,0.0,1.0,0.9,0.769,403.0,1620564.0
148,Duncan Robinson,MIA,26.0,29.7,73,13.5,3.2,1.4,4.8,1.0,0.47,3.7,0.446,0.9,0.931,396.0,1663861.0
150,Dwayne Bacon,CHA,24.0,17.6,39,5.7,2.6,1.3,-3.4,0.9,0.348,0.5,0.284,0.9,0.66,389.0,1678854.0
151,Dwight Howard,LAL,34.0,18.9,69,7.5,7.3,0.7,2.3,1.2,0.729,0.0,0.6,1.6,0.514,300.0,2564753.0
152,Dwight Powell,DAL,28.0,26.5,40,9.4,5.7,1.5,4.9,0.9,0.638,0.3,0.256,1.9,0.667,118.0,10185185.0
154,E'Twaun Moore,NOP,31.0,18.2,56,8.3,2.3,1.4,-0.8,0.7,0.426,1.1,0.377,0.6,0.689,316.0,2331593.0
155,Ed Davis,UTA,31.0,10.8,28,1.8,3.8,0.4,-3.9,0.5,0.478,0.0,0.0,0.3,0.5,206.0,5005350.0
156,Edmond Sumner,IND,24.0,14.4,31,4.9,1.5,1.8,-0.9,0.7,0.43,0.5,0.264,0.5,0.552,337.0,2160000.0
157,Elfrid Payton,NYK,26.0,27.7,45,10.0,4.7,7.2,-1.9,2.1,0.439,0.3,0.203,1.1,0.57,218.0,5760000.0
158,Elfrid Payton,NYK,26.0,27.7,45,10.0,4.7,7.2,-1.9,2.1,0.439,0.3,0.203,1.1,0.57,449.0,5760000.0
161,Enes Kanter,BOS,28.0,17.0,58,8.1,7.4,1.0,3.6,1.0,0.572,0.0,0.143,1.2,0.707,204.0,5005350.0
162,Eric Bledsoe,MIL,30.0,27.0,61,14.9,4.6,5.4,7.1,2.4,0.475,1.2,0.344,2.8,0.79,68.0,16875000.0
163,Eric Gordon,HOU,31.0,28.2,36,14.4,2.0,1.5,0.1,1.2,0.369,2.7,0.317,2.3,0.766,69.0,16869276.0
165,Eric Paschall,GSW,23.0,27.6,60,14.0,4.6,2.1,-6.3,1.6,0.497,0.6,0.287,2.7,0.774,408.0,1517981.0
167,Evan Fournier,ORL,27.0,31.4,66,18.5,2.6,3.2,-1.2,1.9,0.467,2.6,0.399,2.7,0.818,67.0,17000000.0
170,Frank Kaminsky,PHX,27.0,19.9,39,9.7,4.5,1.9,-0.2,0.9,0.45,1.1,0.331,1.6,0.678,368.0,1882867.0
172,Frank Ntilikina,NYK,21.0,20.8,57,6.3,2.1,3.0,-1.7,1.2,0.393,0.8,0.321,0.9,0.864,180.0,6176578.0
173,Fred VanVleet,TOR,26.0,35.7,54,17.6,3.8,6.6,3.8,2.2,0.413,2.7,0.39,3.1,0.848,49.0,21250000.0
174,Furkan Korkmaz,PHI,22.0,21.7,72,9.8,2.3,1.1,1.3,0.8,0.43,2.0,0.402,1.1,0.755,376.0,1762796.0
176,Garrett Temple,BKN,34.0,27.9,62,10.3,3.5,2.5,-0.7,1.0,0.378,2.0,0.329,1.1,0.805,216.0,4767000.0
178,Gary Clark,ORL,25.0,13.5,42,3.7,2.6,0.4,-1.3,0.2,0.406,0.9,0.351,0.2,0.9,352.0,2000000.0
179,Gary Harris,DEN,25.0,31.8,56,10.4,2.9,2.1,2.2,1.1,0.42,1.3,0.333,1.3,0.815,54.0,19160714.0
181,Gary Trent Jr.,POR,21.0,21.8,61,8.9,1.6,1.0,-0.9,0.3,0.444,1.8,0.418,0.6,0.822,392.0,1663861.0
182,George Hill,MIL,34.0,21.5,59,9.4,3.0,3.1,5.1,1.0,0.516,1.4,0.46,1.4,0.842,127.0,9590602.0
183,Georges Niang,UTA,27.0,14.0,66,5.9,1.9,0.7,-0.6,0.5,0.438,1.4,0.4,0.3,0.833,373.0,1783557.0
184,Giannis Antetokounmpo,MIL,25.0,30.4,63,29.5,13.6,5.6,10.8,3.7,0.553,1.4,0.304,6.3,0.633,38.0,27528090.0
185,Glenn Robinson III,PHI,26.0,28.8,62,11.7,4.4,1.5,-4.8,0.9,0.486,1.2,0.391,1.2,0.86,456.0,930930.0
186,Goga Bitadze,IND,20.0,8.7,54,3.2,2.0,0.4,-0.3,0.5,0.467,0.1,0.19,0.4,0.727,283.0,2957520.0
188,Gordon Hayward,BOS,30.0,33.5,52,17.5,6.7,4.1,6.4,1.8,0.5,1.6,0.383,2.4,0.855,35.0,28500000.0
189,Gorgui Dieng,MEM,30.0,17.4,63,7.4,5.6,1.2,-1.6,1.0,0.456,0.9,0.355,1.2,0.772,70.0,17587688.0
190,Gorgui Dieng,MEM,30.0,17.4,63,7.4,5.6,1.2,-1.6,1.0,0.456,0.9,0.355,1.2,0.772,452.0,17587688.0
191,Grant Williams,BOS,21.0,15.1,69,3.4,2.6,1.0,1.9,0.7,0.412,0.3,0.25,0.6,0.722,309.0,2498760.0
192,Grayson Allen,MEM,24.0,18.9,38,8.7,2.2,1.4,-2.5,0.9,0.466,1.5,0.404,1.0,0.867,308.0,2545320.0
193,Hamidou Diallo,OKC,21.0,19.5,46,6.9,3.6,0.8,0.3,1.1,0.446,0.3,0.281,0.8,0.603,397.0,1663861.0
194,Harrison Barnes,SAC,28.0,34.5,72,14.5,4.9,2.2,-1.7,1.2,0.46,1.4,0.381,3.0,0.801,48.0,22215909.0
196,Hassan Whiteside,POR,31.0,30.0,67,15.5,13.5,1.2,1.7,1.8,0.621,0.1,0.571,2.4,0.686,321.0,2320044.0
199,Ignas Brazdeikis,NYK,21.0,5.9,9,1.9,0.6,0.4,-1.3,0.2,0.273,0.1,0.111,0.4,0.8,418.0,1517981.0
200,Iman Shumpert,BKN,30.0,18.5,13,4.2,2.6,0.9,-4.0,0.8,0.328,0.6,0.242,0.3,0.571,485.0,447155.0
201,Isaac Bonga,WAS,20.0,18.9,66,5.0,3.4,1.2,-0.5,0.9,0.504,0.4,0.352,1.0,0.812,399.0,1663861.0
202,Isaiah Hartenstein,HOU,22.0,11.6,23,4.7,3.9,0.8,1.7,0.7,0.657,0.0,0.0,0.8,0.679,439.0,1445697.0
203,Isaiah Roby,OKC,22.0,3.8,3,0.0,0.7,0.0,-1.3,0.3,0.0,0.0,0.0,0.0,0.0,419.0,1517981.0
205,Ish Smith,WAS,31.0,26.3,68,10.9,3.2,4.9,-2.1,1.4,0.447,0.9,0.367,0.9,0.721,182.0,6146341.0
206,Ivica Zubac,LAC,23.0,18.4,72,8.3,7.5,1.1,3.2,0.8,0.613,0.0,0.0,1.7,0.747,168.0,7000000.0
207,J.J. Barea,DAL,36.0,15.5,29,7.7,1.8,3.9,0.7,1.3,0.411,1.1,0.376,0.7,0.909,306.0,2564753.0
211,Ja Morant,MEM,20.0,31.0,67,17.8,3.9,7.3,-0.3,3.3,0.477,0.9,0.335,3.6,0.776,136.0,9166800.0
212,JaKarr Sampson,IND,27.0,13.8,34,4.6,2.6,0.6,0.6,0.4,0.591,0.1,0.154,0.5,0.667,366.0,1882867.0
213,JaMychal Green,LAC,30.0,20.7,63,6.8,6.2,0.8,2.4,0.9,0.429,1.5,0.387,0.6,0.75,165.0,7199760.0
214,JaVale McGee,LAL,32.0,16.6,68,6.6,5.7,0.5,1.9,0.8,0.637,0.0,0.5,0.8,0.646,229.0,4200000.0
215,Jabari Parker,SAC,25.0,24.2,38,14.0,5.6,1.8,-2.5,1.7,0.51,0.8,0.269,1.6,0.753,175.0,6916834.0
216,Jabari Parker,SAC,25.0,24.2,38,14.0,5.6,1.8,-2.5,1.7,0.51,0.8,0.269,1.6,0.753,488.0,6916834.0
217,Jacob Evans,MIN,23.0,14.4,29,4.4,1.4,1.1,-3.5,0.9,0.336,0.4,0.333,0.9,0.862,351.0,2017320.0
218,Jae Crowder,MIA,29.0,28.8,65,10.5,5.9,2.5,-2.0,1.1,0.401,2.1,0.343,1.5,0.776,131.0,9258000.0
219,Jahlil Okafor,NOP,24.0,15.6,30,8.1,4.2,1.2,-3.4,1.3,0.623,0.0,0.333,1.3,0.645,364.0,1882867.0
220,Jake Layman,MIN,26.0,22.0,23,9.1,2.5,0.7,1.0,1.0,0.453,1.0,0.333,1.0,0.75,247.0,3761085.0
221,Jakob Poeltl,SAS,24.0,17.7,66,5.6,5.7,1.8,1.8,0.8,0.624,0.0,0.0,0.6,0.465,146.0,8101852.0
