Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
70,Gorgui Dieng,MEM,17587688,,,,,,,"$16,587,688 "
71,Caris LeVert,IND,16203704,"$17,500,000 ","$18,796,296 ",,,,1st Round pick,"$52,500,000 "
72,Joe Harris,BRK,16071429,"$17,357,143 ","$18,642,857 ","$19,928,571 ",,,Bird,"$72,000,000 "
73,James Johnson,NOP,16047100,,,,,,Cap space,"$16,047,100 "
74,Clint Capela,ATL,16000000,"$17,103,448 ","$18,206,897 ",,,,Bird Rights,"$51,310,345 "
75,Dennis SchrÃ¶der,LAL,15500000,,,,,,1st Round Pick,"$15,500,000 "
76,Cody Zeller,CHO,15415730,,,,,,1st Round Pick,"$15,415,730 "
77,Danny Green,PHI,15365854,,,,,,Cap Space,"$15,365,854 "
78,DÄvis BertÄns,WAS,15000000,"$16,000,000 ","$16,000,000 ","$17,000,000 ","$16,000,000 ",,Bird,"$75,000,000 "
79,Jonas ValanÄiÅ«nas,MEM,15000000,"$14,000,000 ",,,,,Bird Rights,"$29,000,000 "
80,Andre Iguodala,MIA,15000000,"$15,000,000 ",,,,,Bird Rights,"$15,000,000 "
81,Marcus Morris,LAC,14883721,"$15,627,907 ","$16,372,093 ","$17,116,279 ",,,Non Bird,"$64,000,000 "
82,Kelly Oubre Jr.,GSW,14375000,,,,,,Bird Rights,"$14,375,000 "
83,Dejounte Murray,SAS,14285714,"$15,428,571 ","$16,571,429 ","$17,714,286 ",,,1st Round pick,"$64,000,000 "
84,Rudy Gay,SAS,14000000,,,,,,Early Bird Rights,"$14,000,000 "
85,Taurean Prince,CLE,13942308,"$15,057,692 ",,,,,1st Round pick,"$29,000,000 "
86,Will Barton,DEN,13920000,"$14,880,000 ",,,,,Bird Rights,"$13,920,000 "
87,Thaddeus Young,CHI,13545000,"$14,190,000 ",,,,,Cap space,"$19,545,000 "
88,Terrence Ross,ORL,13500000,"$12,500,000 ","$11,500,000 ",,,,Bird Rights,"$37,500,000 "
89,Marcus Smart,BOS,13446428,"$14,339,285 ",,,,,Bird Rights,"$27,785,713 "
90,Patrick Beverley,LAC,13333333,"$14,320,988 ",,,,,Bird Rights,"$27,654,321 "
91,Malik Beasley,MIN,13325895,"$14,391,964 ","$15,458,035 ","$16,524,106 ",,,Bird,"$43,175,894 "
92,Patty Mills,SAS,13285714,,,,,,Bird Rights,"$13,285,714 "
93,Christian Wood,HOU,13015874,"$13,666,667 ","$14,317,459 ",,,,Sign and Trade,"$41,000,000 "
94,J.J. Redick,DAL,13013700,,,,,,Cap Space,"$13,013,700 "
95,Justise Winslow,MEM,13000000,"$13,000,000 ",,,,,1st Round Pick,"$13,000,000 "
96,Trevor Ariza,MIA,12800000,,,,,,Cap Space,"$1,800,000 "
97,Brook Lopez,MIL,12697675,"$13,302,325 ","$13,906,976 ",,,,Cap Space,"$39,906,976 "
98,Dion Waiters,MEM,12650000,,,,,,,"$12,650,000 "
99,Cory Joseph,DET,12600000,"$12,600,000 ",,,,,Cap Space,"$12,600,000 "
100,Markelle Fultz,ORL,12288697,"$16,500,000 ","$16,500,000 ","$17,000,000 ",,,1st Round Pick,"$47,288,697 "
101,Kelly Olynyk,HOU,12198243,,,,,,Cap space,"$12,198,243 "
102,Tony Snell,ATL,12178571,,,,,,Cap space,"$12,178,571 "
103,Robert Covington,POR,12138345,"$12,975,471 ",,,,,Cap Space,"$25,113,816 "
104,Kentavious Caldwell-Pope,LAL,12073020,"$13,038,862 ","$14,004,703 ",,,,Early Bird,"$30,000,000 "
105,Jusuf NurkiÄ‡,POR,12000000,"$12,000,000 ",,,,,Bird Rights,"$16,000,000 "
106,T.J. Warren,IND,11750000,"$12,690,000 ",,,,,1st Round Pick,"$24,440,000 "
107,Larry Nance Jr.,CLE,11709091,"$10,690,909 ","$9,672,727 ",,,,1st Round pick,"$32,072,727 "
108,Jordan Clarkson,UTA,11500000,"$12,420,000 ","$13,340,000 ","$14,260,000 ",,,Bird,"$37,260,000 "
109,Spencer Dinwiddie,BRK,11454048,"$12,302,496 ",,,,,Minimum Salary,"$11,454,048 "
110,Dillon Brooks,MEM,11400000,"$12,200,000 ","$11,400,000 ",,,,MLE,"$35,000,000 "
111,Lonzo Ball,NOP,11003782,,,,,,1st Round Pick,"$11,003,782 "
112,Norman Powell,POR,10865952,"$11,615,328 ",,,,,Cap Space,"$10,865,952 "
113,Joe Ingles,UTA,10863637,"$14,000,000 ",,,,,Bird Rights,"$24,863,637 "
114,Josh Richardson,DAL,10800000,"$11,600,000 ",,,,,Minimum Salary,"$10,800,000 "
115,Jeremy Lamb,IND,10500000,"$10,500,000 ",,,,,Cap Space,"$21,000,000 "
116,DeAndre Jordan,BRK,10375678,"$9,881,598 ","$9,821,842 ",,,,Cap space,"$30,079,118 "
117,Zion Williamson,NOP,10245480,"$10,733,400 ","$13,534,817 ",,,,1st Round Pick,"$10,245,480 "
118,Dwight Powell,DAL,10185185,"$11,000,000 ","$11,814,815 ",,,,Cap Space,"$33,000,000 "
119,Rodney Hood,TOR,10047450,"$10,851,246 ",,,,,Early Bird,"$10,047,450 "
120,Deandre Ayton,PHO,10018200,"$12,632,950 ",,,,,1st Round Pick,"$22,651,150 "
121,TomÃ¡Å¡ SatoranskÃ½,CHI,10000000,"$10,000,000 ",,,,,Sign and Trade,"$15,000,000 "
122,Paul Millsap,DEN,10000000,,,,,,Bird,"$10,000,000 "
123,Jayson Tatum,BOS,9897120,"$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$135,801,024 "
124,Anthony Edwards,MIN,9757440,"$10,245,480 ","$10,733,400 ","$13,534,817 ",,,1st Round Pick,"$20,002,920 "
125,Al-Farouq Aminu,CHI,9720900,"$10,183,800 ",,,,,MLE,"$19,904,700 "
126,Dante Exum,HOU,9600000,,,,,,Cap Space,"$9,100,000 "
127,George Hill,PHI,9590602,"$10,047,297 ",,,,,Cap Space,"$10,866,093 "
128,Kyle Anderson,MEM,9505100,"$9,937,150 ",,,,,MLE,"$19,442,250 "
129,Meyers Leonard,OKC,9400000,,,,,,,"$9,400,000 "
130,Derrick Jones Jr.,POR,9268293,"$9,731,707 ",,,,,MLE,"$19,000,000 "
131,Jae Crowder,PHO,9258000,"$9,720,900 ","$10,183,800 ",,,,MLE,"$29,162,700 "
132,Derrick Favors,UTA,9258000,"$9,720,900 ","$10,183,800 ",,,,MLE,"$18,978,900 "
133,Montrezl Harrell,LAL,9258000,"$9,720,900 ",,,,,MLE,"$18,978,900 "
134,Tristan Thompson,BOS,9258000,"$9,720,900 ",,,,,MLE,"$18,978,900 "
135,Serge Ibaka,LAC,9258000,"$9,742,000 ",,,,,MLE,"$9,258,000 "
136,Ja Morant,MEM,9166800,"$9,603,360 ","$12,119,440 ",,,,1st Round Pick,"$18,770,160 "
137,Nicolas Batum,CHO,11608231,"$9,043,478 ","$9,043,478 ",,,,,"$27,130,434 "
138,Delon Wright,SAC,9000000,"$8,526,316 ",,,,,Sign and Trade,"$17,526,316 "
139,Marvin Bagley III,SAC,8963640,"$11,312,114 ",,,,,1st Round Pick,"$20,275,754 "
140,Cedi Osman,CLE,8750000,"$8,050,000 ","$7,350,000 ","$6,650,000 ",,,MLE,"$24,150,000 "
141,James Wiseman,GSW,8730240,"$9,166,800 ","$9,603,360 ","$12,119,440 ",,,1st Round Pick,"$17,897,040 "
142,Dario Å ariÄ‡,PHO,8333333,"$9,000,000 ","$9,666,667 ",,,,Bird,"$27,000,000 "
143,Thomas Bryant,WAS,8333333,"$8,730,159 ",,,,,Early Bird Rights,"$17,063,492 "
144,Maxi Kleber,DAL,8250000,"$8,750,000 ","$9,000,000 ",,,,Early Bird Rights,"$17,000,000 "
145,RJ Barrett,NYK,8231760,"$8,623,920 ","$10,900,635 ",,,,1st Round Pick,"$16,855,680 "
146,Jakob Poeltl,SAS,8101852,"$8,750,000 ","$9,398,148 ",,,,Bird,"$26,250,000 "
147,De'Aaron Fox,SAC,8099627,"$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$171,100,217 "
148,Luka DonÄiÄ‡,DAL,8049360,"$10,174,391 ",,,,,1st Round Pick,"$18,223,751 "
149,Royce O'Neale,UTA,8035714,"$8,678,571 ","$9,321,429 ","$9,964,286 ",,,Cap space,"$36,000,000 "
150,Mason Plumlee,DET,8000000,"$8,137,500 ","$8,525,000 ",,,,Cap space,"$24,662,500 "
